"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"ascospores that are 4-septate, the second cell from the apex is markedly swollen, in 5-septate ascospores the third cell from the apex is markedly swollen, (18-)20-24(-26) x (4-)5(-5.5) µm.","Coniothyrium sidae_512030","ascospores","(18-)20-24(-26) x (4-)5(-5.5)","20-24","5",NA,22,5
"ascospores the third cell from the apex is markedly swollen, (18-)20-24(-26) x (4-)5(-5.5) µm.","Coniothyrium sidae_512030","ascospores","(18-)20-24(-26) x (4-)5(-5.5)","20-24","5",NA,22,5
"Ascospores multiseriate, hyaline, smooth and thin-walled, granular, broadly ellipsoid, ends obtuse, aseptate, (17-)18-20(-24) x (11-)12-13(-14) µm.","Xenobotryosphaeria calamagrostidis_512032","Ascospores","(17-)18-20(-24) x (11-)12-13(-14)","18-20","12-13",NA,19,12.5
"Ascospores hyaline, smooth, 3-to multi-seriate in ascus, fusoid-ellipsoidal with median septum, prominently constricted at septum, tapering towards subobtuse apices, with 1-2 large guttules per cell, thin-walled, widest just above septum in upper cell, (20-)23-25(-27) x (5-)6-7(-8) µm.","Stagonospora perfecta_512037","Ascospores","(20-)23-25(-27) x (5-)6-7(-8)","23-25","6-7",NA,24,6.5
"Ascospores 7.7-9.5 x 3.8-4.2 µm","Hypoxylon lateripigmentum_512105","Ascospores","7.7-9.5 x 3.8-4.2","7.7-9.5","3.8-4.2",NA,8.6,4
"Ascospores 9.5-12 x 5-6 µm","Hypoxylon isabellinum_512106","Ascospores","9.5-12 x 5-6","9.5-12","5-6",NA,10.75,5.5
"Ascospores 11-13.5 x 4.2-4.5 µm","Hypoxylon laminosum_512107","Ascospores","11-13.5 x 4.2-4.5","11-13.5","4.2-4.5",NA,12.25,4.35
"Ascospores 9-12 x 4.2-5 µm","Hypoxylon griseobrunneum_512111","Ascospores","9-12 x 4.2-5","9-12","4.2-5",NA,10.5,4.6
"Ascospores 8 per ascus, ellipsoid to fusiform, transversely 5-11 septate, 25-38 <U+F0B4> 5-8 µm,","Graphis bungartzii_512116","Ascospores","25-38 x 5-8","25-38","5-8",NA,31.5,6.5
"Ascospores 4-8 per ascus, oblong, transversely 7-10-septate, 25-35 <U+F0B4> 7-10 µm,","Graphis chamelensis_512117","Ascospores","25-35 x 7-10","25-35","7-10",NA,30,8.5
"ascospores and the lack of secondary substances, and from G. aurita in the inspersed hymenium and larger ascospores.

Thallus corticate, 1-3 cm diam., 120-180 µm","Graphis rosae-emiliae_512118","ascospores",".120-180","120-180",NA,NA,150,150
"Ascospores 8 per ascus, oblong, transversely 9-13-septate, 45-55 <U+F0B4> 5-10 µm,","Graphis rosae-emiliae_512118","Ascospores","45-55 x 5-10","45-55","5-10",NA,50,7.5
"Ascospores (49.5-)59-64.5(-68) x 5-7.5 µm","Helicoma siamense_512136","Ascospores","(49.5-)59-64.5(-68) x 5-7.5","59-64.5","5-7.5",NA,61.75,6.25
"Ascospores germinated on MEA within 24-36 hours and germ tubes produced from any cells. Colonies growing on MEA slowly, reaching to 6 mm in 7 days at 28oC, flat, sparsely hairy, fimbriate, dark brown. Mycelium partly superficial, partly immersed, composed of branched, septate, smooth, pale brownish to reddish brown, red pigmented hyphal filaments. Conidiophores macronematous, 2-3 µm","Helicoma siamense_512136","Ascospores","2-3","2-3",NA,NA,2.5,2.5
"Ascospores (63-)71-86.5 x 4-6.5 µm","Helicoma fagacearum_512138","Ascospores","(63-)71-86.5 x 4-6.5","71-86.5","4-6.5",NA,78.75,5.25
"Ascospores ellipsoid, pale brown, with uneven surface, 4.5-5.5 <U+F0B4> 2.5-3.0 µm,","Emericellopsis alkalina_512151","Ascospores","4.5-5.5 x 2.5-3.0","4.5-5.5","2.5-3.0",NA,5,2.75
"Ascospores acicular, 55-90 x 5(-7) µm,","Leptogium longisporum_512165","Ascospores","55-90 x 5(-7)","55-90",NA,NA,72.5,NA
"Ascospores uniseriate, sometimes partly biseriately arranged, usually obliquely, rarely periclinally oriented or even disorganized in asci, aseptate, yellowish brown, ellipsoid to cylindrical, smooth, but each ascocarp with some free spores with minute, finely punctate ornamentation, visible under light microscopy at high magnification (1000x), (4-)4.8-6.3(-6.6) x (2-)2.5-3.4(-3.8) µm","Chaenothecopsis resinophila_512177","Ascospores","(1000x)(4-)4.8-6.3(-6.6) x (2-)2.5-3.4(-3.8)","1000","4.8-6.3","2.5-3.4",1000,5.55
"ascospores accumulating on top of epithecium, obovoid to hemispheric, 300-600 µm","Chaenothecopsis perforata_512178","ascospores","300-600","300-600",NA,NA,450,450
"Ascospores uniseriate, sometimes partly biseriately arranged, usually periclinally, rarely obliquely to almost vertically arranged in asci, aseptate, pale grayish to yellowish brown, ellipsoid to widely cylindrical, smooth, (4.2-) 4.8-6.1(-6.9) x (2-)2.3-3.2(-3.5) µm,","Chaenothecopsis perforata_512178","Ascospores","(4.2-) 4.8-6.1(-6.9) x (2-)2.3-3.2(-3.5)","4.8-6.1","2.3-3.2",NA,5.45,2.75
"ascospores accumulating on top of the epithecium, 200-320 µm","Chaenothecopsis pallida_512179","ascospores","200-320","200-320",NA,NA,260,260
"Ascospores uniseriate, obliquely or periclinally arranged in asci, aseptate, yellowish brown, cylindrical, smooth, (4.8-)5.0-6.6(-6.9) x (2.1-)2.3-3.8(-4) µm,","Chaenothecopsis pallida_512179","Ascospores","(4.8-)5.0-6.6(-6.9) x (2.1-)2.3-3.8(-4)","5.0-6.6","2.3-3.8",NA,5.8,3.05
"Ascospores uniseriate, usually periclinally, sometimes obliquely arranged in asci, green to yellowish green-brown, septate, septa thinner (and less visible) than spore wall, slightly thickened at the septal junction, cylindrical, smooth to finely pointed, (7-)7.3-10.3(-11.1) x (2-)2.5-3.8(-4) µm,","Chaenothecopsis hunanensis_512180","Ascospores","(7-)7.3-10.3(-11.1) x (2-)2.5-3.8(-4)","7.3-10.3","2.5-3.8",NA,8.8,3.15
"Ascospores 20-30 x 8-10 µm,","Annulatascus velatisporus_512181","Ascospores","20-30 x 8-10","20-30","8-10",NA,25,9
"ascospores were produced cultures. Arthroconidia measuring 3.7 to 7.5 µm","Nannizziopsis crocodili_512184","ascospores","7.5","7.5",NA,NA,7.5,7.5
"Ascospores one-celled, navicular in lateral view, ellipsoidal in front view, thin-and smooth-walled, without germ pores, 2.8-3.8 x 1.4-2 µm, hyaline to light brown in mass. Conidiophores poorly differentiated, erect, simple or slightly branched, up to 35 µm","Arthrographis curvata_512209","Ascospores","35","35",NA,NA,35,35
"ascospores hyaline, non-septate, ellipsoid, 9-11(-12) x 4.5-5.5(-6) µm,","Miriquidica invadens_512297","ascospores","9-11(-12) x 4.5-5.5(-6)","9-11","4.5-5.5",NA,10,5
"ascospores hyaline, non-septate, ellipsoid, (9-)10-13 x 4-5 µm,","Miriquidica plumbea_512298","ascospores","(9-)10-13 x 4-5","10-13","4-5",NA,11.5,4.5
"Ascospores colourless, simple, ellipsoid to elongate-ellipsoid or bacilliform, lacking a distinct perispore, often 1-2-guttulate, (3-) 5 (-7) x (1.5-) 2 (-2.5) µm","Sarcogyne iridana_512334","Ascospores","(3-) 5 (-7) x (1.5-) 2 (-2.5)","5","2",NA,5,2
"Ascospores simple, colourless, ellipsoid to elongate-ellipsoid or somewhat panduriform, lacking a distinct perispore, (3-) 4.5 (-6) x (1.5-) 2 (-2.5) µm","Sarcogyne meridionalis_512335","Ascospores","(3-) 4.5 (-6) x (1.5-) 2 (-2.5)","4.5","2",NA,4.5,2
"Ascospores (37)45-60(67) x 3-4 µm,","Enterographa caudata_512362","Ascospores","(37)45-60(67) x 3-4","45-60","3-4",NA,52.5,3.5
"Ascospores hyaline when inside the ascus, becoming brown to dark brown with age, cylindrical to slightly ellipsoid, rounded at the tips, sometimes with small conoid-obtuse end cells, 4-septate, constricted at the septae, sometimes with an enlarged middle cell, 37.5-47.5 x 15-22.5 µm.","Irenopsis vincensii_512387","Ascospores","37.5-47.5 x 15-22.5","37.5-47.5","15-22.5",NA,42.5,18.75
"Ascospores uniseriate, one-celled, ellipsoidal, (30-)33-36 x (18-)22-25 µm,","Pseudoneurospora canariensis_512468","Ascospores","(30-)33-36 x (18-)22-25","33-36","22-25",NA,34.5,23.5
"Ascospores subhyaline to golden yellow or reddish-brown, spherical, 3.5-4.5 µm","Auxarthron longisporum_512469","Ascospores","3.5-4.5","3.5-4.5",NA,NA,4,4
"Ascospores 8 per asci (Fig. 2D-F) Beltraminia-type , dark, 1-septate, (12.0 x 7.0-) 13 x 7.5 (-14.5 x 9.5) µm","Dimelaena lichenicola_512481","Ascospores","(12.0 x 7.0-) 13 x 7.5 (-14.5 x 9.5)","12.0",NA,NA,12,NA
"ascospores 2 per ascus, uniseriate, ellipsoid to fusiform (at times deformed), 63-135(-163) x 30-55 µm,","Pertusaria albiglobosa_512558","ascospores",")63-135(-163) x 30-55","63-135","30-55",NA,99,42.5
"Ascospores at first one-celled and hyaline, irregularly uniseriate, ellipsoidal, becoming transversely septate without constriction at the septum, septum near the upper third; one cell becoming dark brown to black whereas the other remaining hyaline or less frequently light yellowish-brown and usually collapsed at maturity. All dimension (18-) 20-27 µm","Diplogelasinospora moalensis_512579","Ascospores","(18-) 20-27","20-27",NA,NA,23.5,23.5
"ascospores hyaline, simple, ellipsoid, 12-16(-17.5) x (4-)5-6.25 µm,","Bryobilimbia ahlesii_512627","ascospores","12-16(-17.5) x (4-)5-6.25","12-16","5-6.2",NA,14,5.6
"ascospores hyaline, simple, ellipsoid, (9-)11-14 x 3.5-5(-6) µm,","Bryobilimbia sanguineoatra_512642","ascospores","(9-)11-14 x 3.5-5(-6)","11-14","3.5-5",NA,12.5,4.25
"ascospores (35-60 µm),","Porpidia vulcanoides_512650","ascospores","(35-60","35-60",NA,NA,47.5,47.5
"ascospores surrounded by a centrally arranged globose membranous sheath and by elongated cells in the outer ectal excipulum layer forming a palisade perpendicular to the surface.
Type: Slovakia, Nízke Tatry Mts., ca. 3 km N of Hiadel village, 48°50'7.38<U+2033>N 19°18'39.84<U+2033>E, alt. 700 m, SW exposure, 20° slope, dystric cambisol, biotite granodiorite, in a 100-year old managed forest: Picea abies (L.) H. Karst. 77%, Abies alba Mill., 17%, Larix decidua Mill. 6%; on wood of Abies alba, 21.IV.2010, leg. S. Glejdura (Holotype, BRA CR-19347).
Apothecia at first hemispherical, later cup shaped, plane at full maturity, 1-2.7 cm diam, substipitate or sessile. Hymenium smooth, dark brown to blackish brown. Margin composed of thick-walled cylindrical or slightly clavate hairs 15-110 µm","Pseudoplectania lignicola_512685","ascospores","15-110","15-110",NA,NA,62.5,62.5
"Ascospores (mature) globose, thick-walled, with granulate or small guttulate non-oleaginous content (negative reaction in Sudan 4), (10.2-)11-12.2(-12.3) µm.","Pseudoplectania lignicola_512685","Ascospores","4)(10.2-)11-12.2(-12.3)","11-12.2",NA,NA,11.6,11.6
"ascospores surrounded by a membranous cover (sheath) 15.5-19.5 µm","Pseudoplectania lignicola_512685","ascospores",") 15.5-19.5","15.5-19.5",NA,NA,17.5,17.5
"Ascospores within membranous sheaths are separated by cytoplasmic granules laid crosswise in the ascus. Spore walls usually swollen in 5% KOH, with the membranous sheaths dissolving in the same medium. Paraphyses cylindric, septate, brownish in the upper part and often agglutinated with an amorphous substance, sometimes branched and anastomosed in basal and medial parts, 2.2-2.8 µm","Pseudoplectania lignicola_512685","Ascospores","2.2-2.8","2.2-2.8",NA,NA,2.5,2.5
"Ascospores 8/ascus, colorless, oblong to ellipsoidal, transversely 4-loculate, 10-13 x 5-6 µm.","Rhabdodiscus indicus_512700","Ascospores","10-13 x 5-6","10-13","5-6",NA,11.5,5.5
"ascospores slightly clavate, straight to curved, 0-3-septate, (10-)12-18 x 1.5-2.5 µm;","Micarea usneae_512806","ascospores","(10-)12-18 x 1.5-2.5","12-18","1.5-2.5",NA,15,2
"Ascospores *33-37 x 6-7.5 µm,","Hymenoscyphus lepismoides_519167","Ascospores","*33-37 x 6-7.5","33-37","6-7.5",NA,35,6.75
"Ascospores hyaline, filiform, multiseptate, breaking in irregularly fusoid partspores 9-12 (-16) x 1-2 µm","Ophiocordyceps fulgoromorphila_519169","Ascospores","9-12 (-16) x 1-2","9-12","1-2",NA,10.5,1.5
"Ascospores elongate fusiform with rounded apex 120-180 x 1-1.5 µm,","Ophiocordyceps tiputini_519170","Ascospores","x 120-180 x 1-1.5","120-180","1-1.5","1-1.5",150,1.25
"Ascospores filiform, hyaline, breaking in irregularly truncate partspores 9-12 (-16) x 1 µm","Ophiocordyceps araracuarensis_519174","Ascospores","9-12 (-16) x 1","9-12","1",NA,10.5,1
"Ascospores ellipsoidal, hyaline, unicellular, with two large drops in the fresh material, thin-walled (6.2-)6.5-7.5(-8.4) x 2.5-3.0(-3.2) µm","Xylochrysis lucida_519196","Ascospores","(6.2-)6.5-7.5(-8.4) x 2.5-3.0(-3.2)","6.5-7.5","2.5-3.0",NA,7,2.75
"Ascospores germinating after 48 h on PDA. Colony on PDA 15-20 mm diam after 30 d at 25 C, whitish, aerial hyphae abundant, with a moist (slimy) appearance in the middle, margin uneven; pale brown to beige pigment diffusing into the agar. Colony on PCA 22-30 mm diam after 30 d at 25 C, whitish, aerial hyphae scanty, center of the colony gray, wrinkled with a slightly moist appearance, margin uneven; reddish brown pigment diffusing into the agar. 
Conidiomata sporodochial, produced in 14 d on PDA, visible in several spots of the colony; conidiophores densely aggregated, growing from a palisade of hyaline cells; hyaline to subhyaline, 1.5-2.0 µm","Xylochrysis lucida_519196","Ascospores","1.5-2.0","1.5-2.0",NA,NA,1.75,1.75
"ascospores 5.3-6 µm","Xylographa erratica_519199","ascospores","5.3-6","5.3-6",NA,NA,5.65,5.65
"ascospores 12.2-14.1 x 6.8-8.4 µm,","Xylographa vermicularis_519204","ascospores","12.2-14.1 x 6.8-8.4","12.2-14.1","6.8-8.4",NA,13.15,7.6
"ascospores 8/ascus, ellipsoid, (9.5-)11.4(-13) x (4.5-)5.3(-6) µm","Xylographa carneopallida_519206","ascospores","(9.5-)11.4(-13) x (4.5-)5.3(-6)","11.4","5.3",NA,11.4,5.3
"Ascospores 2(-3) per ascus, ellipsoid or ovoid, yellowish, (15-)20-25 (-30) x (10-)12.5-15(-17.5) (average 23 x 14) µm.

","Golovinomyces clematidis_519293","Ascospores","23 x 14)","23","14",NA,23,14
"Ascospores parallelly arranged, filiform, easily breaking into partspores fusiform-ellipsoid, 17-20 x 1.5-2 µm.","Ophiocordyceps evansii_519355","Ascospores","17-20 x 1.5-2","17-20","1.5-2",NA,18.5,1.75
"Ascospores 5-6.96-9 x 2.5-3.15-4 µm,","Poronia radicata_519364","Ascospores","5-6.96-9 x 2.5-3.15-4","6.96","3.15",NA,6.96,3.15
"Ascospores 8 per ascus, their wall IKI-negative, muriform with 15-23 transverse septa and 3-7 longitudinal septa per segment, 50-80 <U+F0B4> 17-23 µm,","Marcelaria benguelensis_519393","Ascospores","50-80 x 17-23","50-80","17-23",NA,65,20
"Ascospores 8 per ascus, their wall IKI+ violet, densely muriform with 29-49 transverse septa and 5-9 longitudinal septa per seg¬ment, 110-170 <U+F0B4> 14-26 µm,","Marcelaria purpurina_519395","Ascospores","110-170 x 14-26","110-170","14-26",NA,140,20
"Ascospores aseptate, hyaline, with granular or reticulately textured contents, oval to broadly fusiform, 25-39 x 15-20 µm.","Cophinforma mamane_519402","Ascospores","25-39 x 15-20","25-39","15-20",NA,32,17.5
"ascospores or biseriate toward apex. PARAPHYSES 3-5 µm","Pleosphaeria mutabilis_519411","ascospores","3-5","3-5",NA,NA,4,4
"ascospores or biseriate toward apex. PARAPHYSES 3-5 µm","Mattirolia mutabilis_519412","ascospores","3-5","3-5",NA,NA,4,4
"ascospores or biseriate toward apex. Paraphyses 3-5 µm","Mattirolia mutabilis_519412","ascospores","3-5","3-5",NA,NA,4,4
"Ascospores 19-22 x 8-12 µm,","Mattirolia mutabilis_519412","Ascospores","19-22 x 8-12","19-22","8-12",NA,20.5,10
"ascospores were not found through morphological and paraffin section observation. In the early stage the stromata were waxy and smooth, gradually turning white and covered with a dense layer of conidiogenous cells and conidiospores. Conidiogenous cells hyaline, 18.1-26.7 µm","Epichloë gansuensis_519432","ascospores","18.1-26.7","18.1-26.7",NA,NA,22.4,22.4
"Ascospores in sheaths, hyaline, aseptate, ellipsoidal, (7-)7-9(-10) x (2-)3-4(-4) µm,","Ceratocystis ethacetica_519448","Ascospores","(7-)7-9(-10) x (2-)3-4(-4)","7-9","3-4",NA,8,3.5
"Ascospores in sheaths, hyaline, aseptate, ellipsoidal (6-)7-9(-13) x (3-)3-4(-6), accumulating in easily discharged, mucilaginous, buff (19<U+2033>f) droplets at apex of ascomatal necks. Conidiophores hyaline, phialidic, lageniform, tapering toward apices, (63-)92-150(-215) µm","Ceratocystis cerberus_519450","Ascospores","(63-)92-150(-215)","92-150",NA,NA,121,121
"Ascospores hyaline, fusiform, aseptate, pointed at both ends, straight or curved, 7.5-11 x 2-2.5 µm","Custingophora blanchettei_519482","Ascospores","7.5-11 x 2-2.5","7.5-11","2-2.5",NA,9.25,2.25
"Ascospores *(9-)9.5-11(-12) x (1-)1.2-1.4(-1.6) µm","Orbilia succulenticola_519540","Ascospores","*(9-)9.5-11(-12) x (1-)1.2-1.4(-1.6)","9.5-11","1.2-1.4",NA,10.25,1.3
"ascospores oblong to cylindrical, 4-septate, constricted at the septa, 37-42 x 17-20 µm.","Meliola ficigena_519593","ascospores","37-42 x 17-20","37-42","17-20",NA,39.5,18.5
"Ascospores bi-to multiseriate, hyaline, smooth, granular to guttulate, aseptate, straight, rarely curved, widest in the middle, limoniform with obtuse ends, (15-)16-18(-20) x (6-)7 µm.","Phyllosticta abieticola_519596","Ascospores","(15-)16-18(-20) x (6-)7","16-18",NA,NA,17,NA
"Ascospores bi-to triseriate, hyaline, smooth, granular to guttulate, aseptate, straight, rarely curved, widest in the upper third, limoniform, (8-)9-10(-12) x (4-)5 µm.","Phyllosticta rubra_519605","Ascospores","(8-)9-10(-12) x (4-)5","9-10",NA,NA,9.5,NA
"Ascospores hyalines, filiform multiseptate, breaking in regular cylindrical part spores 7-10 (12) x 1,5 µm.","Ophiocordyceps blattarioides_519727","Ascospores","7-10 (12) x 1,5","7-10","1.5",NA,8.5,1.5
"ascospores smaller and +-globose; the type containing lecanoric acid.

Thallus up to ca. 10 cm wide, corticolous, greenish gray becoming dusky gray in the herbarium, upper cortex 25.0-35.0 µm","Bulbothrix bulbillosa_519730","ascospores","25.0-35.0","25.0-35.0",NA,NA,30,30
"ascospores globose to subglobose 5.5-6.0 x 5.0-5.5 µm,","Bulbothrix bulbillosa_519730","ascospores","5.5-6.0 x 5.0-5.5","5.5-6.0","5.0-5.5",NA,5.75,5.25
"Ascospores uniseriate, ellipsoid, 1-septate, 5-7 x 2-2.5 µm,","Coenogonium aurantiacum_519745","Ascospores","5-7 x 2-2.5","5-7","2-2.5",NA,6,2.25
"Ascospores biseriate, narrowly ellipsoid to fusiform with rounded ends, 1-septate, 10-15 x 2.5-3.5 µm,","Coenogonium borinquense_519746","Ascospores","10-15 x 2.5-3.5","10-15","2.5-3.5",NA,12.5,3
"Ascospores more or less uniseriate, narrowly ellipsoid, 1-septate, 7-8 x 2-2.5 µm,","Coenogonium dimorphicum_519747","Ascospores","7-8 x 2-2.5","7-8","2-2.5",NA,7.5,2.25
"Ascospores irregularly biseriate, narrowly ellipsoid to fusiform with rounded ends, 1-septate, 10-12 x 2.5-3.5(-4) µm,","Coenogonium portoricense_519748","Ascospores","10-12 x 2.5-3.5(-4)","10-12","2.5-3.5",NA,11,3
"Ascospores (14.5-)15-17.5(-19) x (5.2-)5.5-6.0 µm","Sporoschismopsis angustata_519749","Ascospores","(14.5-)15-17.5(-19) x (5.2-)5.5-6.0","15-17.5","5.5-6.0",NA,16.25,5.75
"ascospores becoming minutely verrucose.
Colonies effuse, hairy, dark brown, irregular. Conidiophores arising singly or in tufts of 2-3, robust, upright, straight or slightly flexuous, unbranched, with immersed bulbose base and sparse basal hyphae, septate, 100-250 µm","Sporoschismopsis angustata_519749","ascospores","100-250","100-250",NA,NA,175,175
"Ascospores tri-to multiseriate, hyaline, smooth, granular, medianly 1-septate, slightly constricted at septum, (15-)16-17(-18) x (3.5-)4(-5) µm;","Neomycosphaerella pseudopentameridis_519761","Ascospores","(15-)16-17(-18) x (3.5-)4(-5)","16-17","4",NA,16.5,4
"Ascospores tri-to multiseriate, thin-walled, guttulate, obovoid, widest in middle of apical cell, not to very slightly constricted at septum, apex subobtuse, base subobtuse, 18-20(-23) x 3(-3.5) µm;","Paramycosphaerella brachystegia_519797","Ascospores","18-20(-23) x 3(-3.5)","18-20",NA,NA,19,NA
"ascospores germinating with germ tubes parallel to the long axis, developing lateral branches, remaining hyaline, becoming slightly constricted at septum, 3-4 µm","Paramycosphaerella brachystegia_519797","ascospores","3-4","3-4",NA,NA,3.5,3.5
"ascospores congestae elliptical oblong uniseptate, ad septatum constrictae, rotundate ad denum, sub caeruleus vel brumeolus flavae, glabro tunicate, 18 x 9 µm.
In","Asterina benghalensis_519838","ascospores","18 x 9","18","9",NA,18,9
"ascospores as 26-40 x 3-5 µm.","Pseudocercospora pistacina_519841","ascospores","26-40 x 3-5","26-40","3-5",NA,33,4
"Ascospores 32-44 x 10-13 µm,","Clavatispora thailandica_519872","Ascospores","32-44 x 10-13","32-44","10-13",NA,38,11.5
"Ascospores 38-47 x 13-16 µm","Phaeosaccardinula multiseptata_519879","Ascospores","38-47 x 13-16","38-47","13-16",NA,42.5,14.5
"Ascospores 37-49 x 11-15 µm","Phaeosaccardinula dendrocalami_519880","Ascospores","37-49 x 11-15","37-49","11-15",NA,43,13
"Ascospores cylindrical, curved or distinctly bent in the middle, both ends rounded, pale brown to brown, 1-5 septate, 34-38 x 4-5 µm.","Echinosphaeria heterostoma_519921","Ascospores","34-38 x 4-5","34-38","4-5",NA,36,4.5
"ascospores are hyaline/young, or uniseriate-when ascospores are pigmented / mature.  Ascospores ellipsoidal to clavate, initially hyaline, becoming versicolored, 1-septate, constricted at the septum, with unequal cells (apiospores), the upper cell larger and rounded, brown to light-brown, and the lower cell smaller and acute, sub-hyaline, 10-13 x 3-4 µm,","Inocyclus angularis_519924","ascospores","10-13 x 3-4","10-13","3-4",NA,11.5,3.5
"ascospores are pigmented / mature.  Ascospores ellipsoidal to clavate, initially hyaline, becoming versicolored, 1-septate, constricted at the septum, with unequal cells (apiospores), the upper cell larger and rounded, brown to light-brown, and the lower cell smaller and acute, sub-hyaline, 10-13 x 3-4 µm,","Inocyclus angularis_519924","ascospores","10-13 x 3-4","10-13","3-4",NA,11.5,3.5
"Ascospores ellipsoidal to clavate, initially hyaline, becoming versicolored, 1-septate, constricted at the septum, with unequal cells (apiospores), the upper cell larger and rounded, brown to light-brown, and the lower cell smaller and acute, sub-hyaline, 10-13 x 3-4 µm,","Inocyclus angularis_519924","Ascospores","10-13 x 3-4","10-13","3-4",NA,11.5,3.5
"Ascospores ellipsoid, three-septate, pale brown, 15-17 x 6.5-7.5 µm.","Helminthosphaeria flavocompta_519925","Ascospores","15-17 x 6.5-7.5","15-17","6.5-7.5",NA,16,7
"Ascospores ellipsoid, one-celled, brown, surface roughened, coarsely punctate, 12-16 x 6-7 µm.","Helminthosphaeria gibberosa_519926","Ascospores","12-16 x 6-7","12-16","6-7",NA,14,6.5
"Ascospores ellipsoid, one-celled, hyaline, 8-12 x 5-6 µm.","Helminthosphaeria heterotricha_519927","Ascospores","8-12 x 5-6","8-12","5-6",NA,10,5.5
"Ascospores ellipsoid, brown, 1-3(-4)-septate, often unevenly distributed, 17-26 x 7-9 µm.","Helminthosphaeria ludens_519928","Ascospores","17-26 x 7-9","17-26","7-9",NA,21.5,8
"Ascospores reniform to allantoid, slightly curved, hyaline, one-celled, 30-35 x 8-10 µm.","Helminthosphaeria stuppea_519929","Ascospores","30-35 x 8-10","30-35","8-10",NA,32.5,9
"Ascospores curved cylindrical to allantoid, hyaline to pale brown, one-celled, 20-28 x 6-8.5 µm.","Helminthosphaeria tomaculum_519930","Ascospores","20-28 x 6-8.5","20-28","6-8.5",NA,24,7.25
"Ascospores ellipsoid, pale brown, 0-3-septate, 13-17 x 5-6.5 µm.","Helminthosphaeria triseptata_519931","Ascospores","13-17 x 5-6.5","13-17","5-6.5",NA,15,5.75
"Ascospores cylindrical, lower one-fourth curved in obtuse angle, basal end attenuate and acerose, hyaline to yellowish, septations not seen, (described as 3-5 septate in Hilber and Hilber 1983), 38-45 x 3-3.5 µm.","Hilberina breviseta_519932","Ascospores","1983)38-45 x 3-3.5","38-45","3-3.5",NA,41.5,3.25
"Ascospores cylindrical, lower one-fourth curved in obtuse angle, basal end attenuate and acerose, hyaline, one-celled, 65-70 x 4-5.5 µm.","Hilberina elegans_519933","Ascospores","65-70 x 4-5.5","65-70","4-5.5",NA,67.5,4.75
"ascospores cylindrical, basal end curved in obtuse angle, attenuate and acerose, hyaline, one-celled, 40-45 x 3.7-4.6 µm","Hilberina foliicola_519934","ascospores","40-45 x 3.7-4.6","40-45","3.7-4.6",NA,42.5,4.15
"ascospores cylindrical, basal end curved in obtuse angle, at times curving s-like, attenuate and acerose, hyaline to pale brown, 5-9-septate, 62-90 x 4.5-6 µm.","Hilberina meznaensis_519935","ascospores","62-90 x 4.5-6","62-90","4.5-6",NA,76,5.25
"ascospores cylindrical, lower one-fourth bent geniculate in obtuse angle, basal end rounded, dark brown, 3-4-septate, 42-55 x 4-4.5 µm.","Hilberina moseri_519936","ascospores","42-55 x 4-4.5","42-55","4-4.5",NA,48.5,4.25
"Ascospores cylindrical, curved or distinctly bent in the middle, both ends rounded, hyaline to pale brown; spores mostly one-celled but can become three-septate, wall roughened, 28-40 x 4-5.5 µm.","Hilberina punctata_519937","Ascospores","28-40 x 4-5.5","28-40","4-5.5",NA,34,4.75
"Ascospores cylindrical, lower one-fourth curved in obtuse angle, basal end attenuate and acerose, hyaline, one-celled, 40-47 x 3-4 µm.","Hilberina rhynchospora_519938","Ascospores","40-47 x 3-4","40-47","3-4",NA,43.5,3.5
"Ascospores fusiform, lower one-third distinctly bent geniculate, both ends lanceolate, basal end with slight bulbous swelling, one-celled and hyaline for a long time, with age becoming five-septate and pale brown with prominent guttules and cell contents adhering to septa, 55-72 x 5-6.5 µm.","Hilberina robusta_519939","Ascospores","55-72 x 5-6.5","55-72","5-6.5",NA,63.5,5.75
"Ascospores cylindrical, curved or distinctly bent in the middle, both ends rounded, one-celled, pale brown, 33-40 x 6-8 µm.","Hilberina sphagnorum_519940","Ascospores","33-40 x 6-8","33-40","6-8",NA,36.5,7
"Ascospores 31.5-42 x 3-4 µm","Conioscypha peruviana_519941","Ascospores","31.5-42 x 3-4","31.5-42","3-4",NA,36.75,3.5
"Ascospores inequilateral, ellipsoid to elongated ellipsoid (aver. L/W ratio 3.4-3.5), straight or curved, with rounded to weakly pointed ends, 0-septate, thin-walled and hyaline when released, containing greenish oil droplets (T); 20-27 x 6-7.5 (N = 27), aver. 24 x 7 µm","Pezicula neosporulosa_519993","Ascospores",". 24 x 7","24","7",NA,24,7
"Ascospores uniseriate, usually obliquely to periclinally oriented in asci, septate, brown, ellipsoid to cylindrical, smooth, sometimes thickened at the ends; (12.3-) 13.4-17.6 (-18.6) x (4.4-) 4.9-6.3 (-6.7) µm","Chaenothecopsis neocaledonica_520007","Ascospores","; (12.3-) 13.4-17.6 (-18.6) x (4.4-) 4.9-6.3 (-6.7)","13.4-17.6","4.9-6.3",NA,15.5,5.6
